,Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
0,2001,Cool Boarders 4,cool-boarders-4,Sports,E,PS,989 Studios,Idol Minds Digital Entertainment,,,,0.0,1.17,0.65,0.44,,0.08,1999.0,,http://www.vgchartz.com/game/31203/cool-boarders-4/?region=All,1,,/games/boxart/full_7474381AmericaFrontccc.jpg,1.17, 
1,2002,Army of Two,army-of-two,Shooter,M,PS3,Electronic Arts,EA Montreal,,7.4,6.9,0.0,1.17,0.74,0.26,0.02,0.15,2008.0,03rd Feb 18,http://www.vgchartz.com/game/13641/army-of-two/?region=All,1,,/games/boxart/8108434ccc.jpg,1.17,"Never go into battle alone! EA’s new next-gen boutique development studio is changing the face of how people will play games. Delivering a groundbreaking strategic 3rd person co-op shooter unparalleled in the action genre, EA Montreal’s ARMY OF TWO focuses on gameplay centered around TWO man missions, TWO man strategies, TWO man tactics and a TWO man advantage Today, the United States is awarding an unprecedented number of contracts to Private Military Corporations (PMC) in an effort to maintain its presence worldwide. Since the Vietnam War, this number has increase ten fold and is only rising. As the clear cut flow of the chain of command blurs and the military responsibilities of a nation slipping out of its own control, it is getting hard to tell who really holds the power. As ex-Army Rangers now turned contractors for a PMC, ARMY OF TWO challenges you to fight along side your team-mate on missions developing and using the combined skills necessary to become the deadliest TWO man military outfit. Whether with a live player or ARMY OF TWO’s unique partner AI, ARMY OF TWO delivers a revolutionary new way to play an action shooter. From TWO man sniping to parachuting, players will experience action-packed scenarios where they will have to use their wit, strength and an arsenal of shared customizable weapons to successfully defeat their enemies and complete the mission at hand. On or offline, players can seamlessly transition from AI to a live partner as they fight their way through war, turmoil and a conspiracy so vast it threatens the entire world. When one man is not enough, it’s going to take an army of two to save us.
http://www.eagames.co.uk/game/army-of-two/ps3/ "
2,2003,Rage Racer,rage-racer,Racing,E,PS,Namco,Namco,,,,0.0,1.17,0.16,0.11,0.83,0.08,1997.0,,http://www.vgchartz.com/game/1828/rage-racer/?region=All,1,,/games/boxart/full_5609719AmericaFrontccc.jpg,1.17,"Rage Racer shatters the standards of PlayStation racing and has industry insiders scurrying to their Thesaurus' for new speed descriptors. This is a whole new engine, chassis and shocks; shocks coming, of course, ast the expense of your central nervous system. But enough hype. You've go to play this bad-boy to believe it. Then you'll see why Game Fan insists, ""you must obtain Rage Racer as soon as humanly possible."" "
3,2004,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,T,XB,Electronic Arts,EA Los Angeles,,,,0.0,1.17,0.76,0.36,,0.05,2003.0,,http://www.vgchartz.com/game/6337/medal-of-honor-rising-sun/?region=All,1,,/games/boxart/full_444594AmericaFrontccc.jpg,1.17,"Pack your gear, head to the Pacific, and fight Japanese imperialism in Medal of Honor™ Rising Sun. In this installment of the top-selling Medal of Honor series, Marine Corporal Joseph Griffin must endure some of the fiercest battles fought during WWII; crucial assignments ranging from surviving the devastating attack on Pearl Harbor, destroying the Bridge over the River Kwai, a midnight raid on Guadalcanal, and triumphing in the final showdown with Colonel Shima.  Players will take on five multi-part missions spanning ten massive open environment levels, all of which add up to one complete storyline. The experience begins with the attack on Pearl Harbor in 1941 aboard the U.S.S. California where players will fight off Japanese attacks and witness the destruction of the American fleet. Players will travel to Guadalcanal to destroy fortified Japanese gun emplacements and lead the assault on Henderson Field.  Players will have to use stealth as they travel to Singapore to search for information pertaining to a stolen cache of Japanese gold and escape on a stolen speedboat. Meet up with the British and the legendary Flying Tigers in Burma while discovering the secret of Yamashita's gold, and then destroy the Bridge over the River Kwai.  Choose single player or the new two-player co-op mode to experience life as a Marine in the Pacific during the most difficult years of the war. Players can also choose four-player split screen deathmatch and team modes for head-to-head action.  Storytelling will be increased through interaction with squad members as the player progresses through the game. Each squad member will have a story arc that will be revealed as the game continues. Griffin's friends and foes come to life with much improved AI and AI animation interaction within each environment. Characters, friend and foe alike, will use the environment around them for protection and cover when under attack.   EALA continues to work closely with the Congressional Medal of Honor Society to make sure Medal of Honor Rising Sun reflects the ideals and integrity of the prestigious Congressional Medal of Honor. The team also continues its relationship with Capt. Dale Dye, military technical advisor for the original Medal of Honor title, to insure the authenticity of the game.
 
Source - www.electronicarts.co.uk (publisher) "
4,2005,Destruction Derby 2,destruction-derby-2,Racing,E,PS,Sony Computer Entertainment,Reflections Interactive,,,,0.0,1.17,0.65,0.44,,0.08,1996.0,,http://www.vgchartz.com/game/509/destruction-derby-2/?region=All,1,,/games/boxart/full_5528958AmericaFrontccc.jpg,1.17,"The best selling smash 'em up ever is back on track, and this time the tracks, explosions and chromium carnage are bigger and better than ever before!

Race on Seven incredible tracks - wider, faster and longer - Plus Four brand new total destruction bowls!
Repair your beaten-up auto using the new Pit Stop feature - then trash it all over again!
Pull maximum air in cars that flip, roll, and cartwheel in real-time 3D!
Amazingly realistic suspension means vehicles handle like the real thing!
Make wheels, car hoods and other debris go flying!
See those spectacular smashes and flaming wrecks over and over when you edit your own replays!

 
--Box "
5,2006,Sunset Overdrive,sunset-overdrive,Action,M,XOne,Microsoft Studios,Insomniac Games,,8.0,,0.0,1.16,0.64,0.42,0.0,0.1,2014.0,06th Jan 18,http://www.vgchartz.com/game/73069/sunset-overdrive/?region=All,1,,/games/boxart/full_7798502AmericaFrontccc.png,1.16,"The city’s overrun with mutants. Problem? Not for you. Sunset Overdrive  is an open-world playground of post-apocalyptic possibilities. Vault,  grind & wall-run while using a deadly & unconventional arsenal.  With hyper-agility, unique weapons, & customizable abilities, it  rewrites the rules of shooters while delivering an irreverent adventure.
Source: Developer "
6,2007,Midnight Club 3: DUB Edition Remix,midnight-club-3-dub-edition-remix,Racing,E10,PS2,Rockstar Games,Rockstar San Diego,,,,0.0,1.16,0.97,0.04,,0.16,2006.0,,http://www.vgchartz.com/game/5353/midnight-club-3-dub-edition-remix/?region=All,1,,/games/boxart/full_7514095AmericaFrontccc.jpg,1.16,"Midnight Club 3: DUB Edition Remix features all the cities, cars and music 
from Midnight Club 3: DUB Edition while taking the unprecedented move of adding 
entirely new content with 24 new vehicles, a new city (Tokyo), new music, new 
races and battle maps.  "
7,2008,WWE 2K15,wwe-2k15,Sports,T,PS4,2K Sports,Visual Concepts,,,,0.0,1.16,0.4,0.57,,0.19,2014.0,06th Jan 18,http://www.vgchartz.com/game/78592/wwe-2k15/?region=All,1,,/games/boxart/full_7653877AmericaFrontccc.jpg,1.16, 
8,2009,Tom Clancy's Ghost Recon: Jungle Storm,tom-clancys-ghost-recon-jungle-storm,Shooter,T,PS2,Ubisoft,Red Storm Entertainment,,,,0.0,1.16,0.57,0.44,,0.15,2004.0,,http://www.vgchartz.com/game/2458/tom-clancys-ghost-recon-jungle-storm/?region=All,1,,/games/boxart/2886573ccc.jpg,1.16,"Castro is dead and a Colombian cartel-backed candidate pursues an all-out revolution. In Tom Clancy's Ghost Recon: Jungle Storm, you lead a group of highly skilled soldiers called Ghosts into Colombia to force the drug-fended mercenaries to retreat. Experience the 16 intense missions in single player or join battles online, going head-to-head with players from around the world. When equipped with the USB headset, you can issue dozens of voice commands to your teammates. It's time to show what you're made of on the battlefield.
 
Source: us.playstation.com "
9,2010,Bushido Blade,bushido-blade,Fighting,T,PS,Sony Computer Entertainment,Light Weight,,8.2,,0.0,1.16,0.39,0.27,0.43,0.08,1997.0,,http://www.vgchartz.com/game/276/bushido-blade/?region=All,1,,/games/boxart/3770708ccc.jpg,1.16,"A compelling story and amazing graphics aren't all that make this title a must-have. Bushido Blade completely redefines the genre of fighting games and does it with panache. 6 fighters 8 weapons and one winner-take-all round of the fiercest combat you've ever seen on a videogame. 
""Bushido"" is the soul of Japan - an ancient honor code deeply followed by samurai warriors for centuries. Plunge into real world battles across vast 3D environments that you can run, slice and tear through. Sword matches become unbelievably real where one critical blow is the mean difference between death and victory.

Features: 
1 & 2 Player combat.
6 awesome fighting modes.
6 skilled warriors.
8 ancient swords and weapons.
Plus unique sub-weapons.
Countless special moves.
Rated: TEEN (13+), Animated Blood, Animated Violence
 "
