Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
15001,Gran Turismo / Motor Toon Grand Prix 2,gran-turismo,Racing,,PS,Sony Computer Entertainment,Various,,,,0,0.05,0.03,0.02,,0,2003,,http://www.vgchartz.com/game/41330/gran-turismo-motor-toon-grand-prix-2/?region=All,1,,/games/boxart/full_4122538PALFrontccc.jpg,0.05, 
15002,Otogi 2: Immortal Warriors,otogi-2-immortal-warriors,Action,T,XB,Sega,From Software,,,,0,0.05,0.04,0.01,,0,2004,,http://www.vgchartz.com/game/1684/otogi-2-immortal-warriors/?region=All,1,,/games/boxart/full_717968AmericaFrontccc.png,0.05,"Otogi 2: Immortal Warriors combines real-life folklore and mysticism with an incredible fantasy story and amazing combat action! In the first Otogi, the famous warrior Raikoh gave his life to defend Japan from demonic invasion. In this sequel, five new warriors bravely sacrifice their lives to resurrect Raikoh. As Raikoh rises, the warriors rise with him -- giving him an army to command against a new demon threat. "
15003,Pony Friends: Mini Breeds Edition,pony-friends-mini-breeds-edition,Simulation,E,DS,Eidos Interactive,Tantalus Interactive,,,,0,0.05,0.05,,,0,2008,,http://www.vgchartz.com/game/25938/pony-friends-mini-breeds-edition/?region=All,1,,/games/boxart/full_2504392AmericaFrontccc.jpg,0.05, 
15004,Legend of Kay,legend-of-kay,Action,E10,PS2,Capcom,Neon Studios,,7.2,,0,0.05,0.03,0.02,,0.01,2005,,http://www.vgchartz.com/game/1164/legend-of-kay/?region=All,1,,/games/boxart/5839080ccc.jpg,0.05,"For generations the peaceful cats of Yenching have lived on a mythical island in the Chinese sea together with many other animals. Kay, a young orphaned cat, is an apprentice in martial arts. While practicing in his master’s Dojo, emperor Shun, king of the mighty gorillas, attacked his home in an effort to take over Kay’s village. Kay begins an amazing quest that takes him across the vast island of Yenching.

Lush and highly detailed worlds.
Dark forests, dusty swamps, an abandoned city, an ancient crypt, a burning volcano and more!
More than 40 different fighting moves to master!
18 different enemies with varied movements and weapons.
3 special weapons for Kay to use!
Outstanding character animations, special effects and graphics.

Source: capcom.com "
15005,Scribblenauts Mega Pack,scribblenauts-mega-pack,Adventure,E10,NS,Warner Bros. Interactive Entertainment,Shiver Games,,,,0,0.05,0.05,,,0.01,2018,20th Feb 19,http://www.vgchartz.com/game/222626/scribblenauts-mega-pack/?region=All,1,,/games/boxart/full_3919089AmericaFrontccc.jpg,0.05,"The best of scribblenauts comes together in the Scribblenauts Mega Pack! Combining two classic games with all new objects, characters and levels to explore. Use the power of imagination to solve exciting puzzles in seamless free-roaming levels. With Scribblenauts Unlimited and Scribblenauts Unmasked: A DC Comics Adventure combined, the fun is limitless!
Scribblenauts Unmasked: A DC Comics Adventure

Explore new levels with over 200 brand new DC characters and costumes! 
Use the hero creator to create your own DC super hero or DC super-villain.
Interact with thousands of DC characters, objects and locations.

Scribblenauts Unlimited

Explore a free-roaming world powered by your imagination. 
Interact with 20,000 objects along with a friend - watch them come to life!
Solve hundreds of puzzles with any object you can think of - or create your own in the object editor.

Source: Official Site "
15006,Piglet's Big Game,piglets-big-game,Platform,E,GC,Gotham Games,Doki Denki,,,,0,0.05,0.04,0.01,,0,2003,,http://www.vgchartz.com/game/1738/piglets-big-game/?region=All,1,,/games/boxart/4607362ccc.jpg,0.05,"When Piglet is frightened by a tree shadow, he gets teased by his friends for being so timid. Piglet decides to head off and lead another life, without anyone to “save” him from imagined monsters. Piglet’s friends begin to miss him and fall asleep thinking of their runaway pal.
Once outside The Hundred Acre Wood, Piglet discovers a magical telescope that allows him to enter his friends’ dreams. When Piglet does this, he discovers that his friends are having nightmares where Heffalumps and Woozles are stealing what they hold most dear. Piglet decides it’s time for him to be brave, and save the dreams of all his friends.
Take 2 "
15007,Civilization Beyond Earth: Rising Tide,civilization-beyond-earth-rising-tide,Strategy,E10,PC,2K Games,Firaxis Games,,,,0,0.05,,0.05,,0,2015,22nd Sep 18,http://www.vgchartz.com/game/86263/civilization-beyond-earth-rising-tide/?region=All,1,,/games/boxart/full_6729716AmericaFrontccc.jpg,0.05,"
Beyond Earth extended the Civilization franchise from its historical setting into the possible futures of science fiction.
After the first wave of great colony ships departed Earth, the jubilation of humanity was short-lived. Those left behind fell into a violent struggle over the quickly-diminishing resources on their barren home world. From this tumultuous time, four new factions arose. These newcomers were grounded not in the idealism of their predecessors, but on opportunism, resilience, ruthlessness, and above all a commitment to their own survival.
Now, many decades after their first landfall on a new planet, the proud survivors of the first expeditions beyond Earth look up to see the skies darkened by a new breed of pioneers.
Beyond Earth extended the Civilization franchise from its historical setting into the possible futures of science fiction. Rising Tide extends Beyond Earth to new frontiers on the planet’s surface and beneath its seas, adding even more choices and diplomatic options as you continue to build “just one more turn” toward a new vision for the future of humanity.
Features
-Colonize the Ocean: Build floating settlements and access natural resources hidden beneath the seas of the alien planet. Alien beasts with unique abilities inhabit the water and challenge the player in new ways. The ocean provides a fully replayable map, new gameplay mechanics and strategic possibilities for players to reign supreme on their new world.
-Dynamic Leader Traits: Players and AI Leaders alike unlock new Traits through gameplay and activate different combinations to respond to the changing world. These dynamic sets of Traits also provide benefits and add to the new Diplomacy system, governed by the new Fear and Respect attributes.
-New, Enhanced Diplomatic Options: Shape the diplomatic landscape by using political capital to upgrade your traits, change diplomatic relationships, and leverage the benefits of your allies’ traits.
-New Sponsors: Four new factions have been added to the game including Al Falah, nomad explorers descended from wealthy and resilient Middle Eastern states that possess a rich cultural and commercial heritage.
-New Artifact System: Collect and combine powerful relics to unlock new perks, unit upgrades, and buildings for your faction on the new world.
-New Hybrid Units: Affinities are competing visions for the future of humanity. By investing in multiple Affinities, rather than specializing in just one, players can unlock special hybrid Affinity units and upgrades.
-New Biomes: Two new world types have been added. Primordial worlds are rife in volcanic activity and the chaotic landscape of a world still forming. Frigid worlds have cooled in their great age, their surfaces covered with icy oceans and frozen tundra.
Source: 2K Games
 "
15008,Super Heroine Chronicle,super-heroine-chronicle,Misc,,PSV,Namco Bandai Games,Banpresto,,,,0,0.05,,,0.05,,2014,14th Jan 19,http://www.vgchartz.com/game/72255/super-heroine-chronicle/?region=All,1,,/games/boxart/full_8854877JapanFrontccc.jpg,0.05, 
15009,Hunted: The Demon's Forge,hunted-the-demons-forge,Role-Playing,M,PC,Bethesda Softworks,InXile Entertainment,,6.1,,0,0.05,0.03,0.01,,0,2011,,http://www.vgchartz.com/game/44116/hunted-the-demons-forge/?region=All,1,,/games/boxart/full_hunted-the-demons-forge_540AmericaFront.jpg,0.05,"Set in a dark fantasy world, Hunted: The Demon's Forge is an unforgettable cooperative action game, pitting you and your   partner  against waves of vicious enemies. Taking control of either   E'lara, a  ranged weapon expert, or Caddoc, a master swordsman, you must   use a variety of  weapons, powerful spells, and cover tactics to  battle  your way through menacing  dungeons, overgrown ruins, and  downtrodden  towns. Discover secrets and complete  co-op-based puzzles  whilst  exploring the sinister world to discover answers to  the game's  deep,  dark mysteries.
(summary from Bethesda Softworks official  website http://www.bethsoft.com/eng/games/games_hunted.html) "
15010,4 Elements,4-elements,Puzzle,E,PC,eGames,Playrix Entertainment,,,,0,0.05,,0.04,,0.01,2009,,http://www.vgchartz.com/game/52371/4-elements/?region=All,1,,/games/boxart/full_4-elements_117AmericaFront.jpg,0.05,"The ancient kingdom is in trouble! The magic of the four elements that kept it running for centuries has been corrupted by evil powers and the altars no longer yield the energy of life. It is up to you to unlock the 4 ancient books of magic and collect 16 mysterious cards that will help you restore the kingdom to life. An adorable little fairy will be your aide in this perilous journey as you encounter elementals, dragons, knights, and various magic creatures. Using a mix of classic addictive game play ideas but taking them to a new level with innovative twists, explosive bonuses, spectacular visual effects, and fascinating storyline in amazing animation, this game by Playrix is a load of fun.
Features
 

4 books of magic to unlock and study
16 mysterious cards to collect
Gripping storyline presented in beautiful animation
64 captivating levels with 20 challenging bonus tasks
Stunning visual effects and fantastic bonuses

From Playrix Entertainment
  "
