,Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
0,12001,Rock Band: Metal Track Pack,rock-band-metal-track-pack,Misc,T,PS2,MTV Games,Harmonix Music Systems,,,,0.0,0.11,0.05,0.04,,0.01,2009.0,,http://www.vgchartz.com/game/38208/rock-band-metal-track-pack/?region=All,1,,/games/boxart/full_2401295AmericaFrontccc.jpg,0.11,"Summoning power from the metal gods on high, the Rock Band team has  assembled 20 on-disc tracks exploding with bone-crushing, ear-lashing,  face-melting metal including anvil-heavy cuts from Godsmack, Children of  Bodom, Evile, Judas Priest, Bullet For My Valentine and more! Six of  the on disc tracks are brand new to the Rock Band platform and will be  exclusive to the Rock Band Metal Track Pack disc for a limited time  before joining the Rock Band Music Store as downloadable content. "
1,12002,Sonic Generations,sonic-generations,Platform,E,PC,Sega,Sega,,8.3,,0.0,0.11,0.02,0.07,,0.02,2011.0,,http://www.vgchartz.com/game/67113/sonic-generations/?region=All,1,,/games/boxart/full_sonic-generations_138PALFront.jpg,0.11,"The ultimate celebration of 20 years in Sonic gaming, Sonic  Generations  delivers the definitive gaming experience for Sonic fans  new and old.   Sonic’s universe is thrown into chaos when a  mysterious new power comes  into force, creating ‘time holes’ which take  Sonic and his friends back  in time. While there, Sonic runs into some  very familiar characters from  his past including a younger, classic  version of himself! Now they must  defeat their enemies, save their  friends, and find out who is behind  this diabolical deed.  Twice the Fun  Play as both Classic Sonic and Modern Sonic in the ultimate Sonic   experience. Master the moves of each character as they race through each   environment on their own specially designed track.  The Best Just Got Better  Iconic environments from gaming history come to life in beautiful HD  for  the ultimate Sonic adventure, each revisited, recreated and  re-imagined  with stunning results. Also, these environments are  presented in  stunning new stereoscopic 3D for a whole new way to play!  Unlock New Adventures Once you complete each level and ‘free’ Sonic’s captured friends,  you’ll  get to go back and take on more challenges with them at your  side.   Infamous Bosses and Rivals Take on some of the most notorious characters from Sonic’s past as you fight for ultimate supremacy.  Master Your Moves Master Classic Sonic’s famous Spin Dash and Spin Attack and utilize   Modern Sonic ‘s ‘Sonic Boost’ as you complete the all new tracks.
 
SEGA "
2,12003,Burnout Paradise Remastered,burnout-paradise-remastered,Racing,E10,XOne,Electronic Arts,Stellar Entertainment,,8.0,,0.0,0.11,0.06,0.04,,0.01,2018.0,24th Feb 18,http://www.vgchartz.com/game/221165/burnout-paradise-remastered/?region=All,1,,/games/boxart/full_6900526AmericaFrontccc.png,0.11, 
3,12004,Frogger: Helmet Chaos,frogger-helmet-chaos,Platform,E,PSP,Konami,Konami Computer Entertainment Hawaii,,7.0,,0.0,0.11,0.1,0.0,,0.01,2005.0,,http://www.vgchartz.com/game/813/frogger-helmet-chaos/?region=All,1,,/games/boxart/full_4348387AmericaFrontccc.jpg,0.11,"Helmet Chaos is an all-new adventure starring Frogger, created especially for Nintendo DS and PlayStation Portable (PSP). Konami's web-footed world-famous hero appeals to fans of all ages, male or female, with this mixture of action and puzzles.
Guiding Frogger around is a cinch thanks to his straightforward hop and dodge control - tap any direction and he'll spring towards it. Frogger also uses his tongue to swing from poles, and can bound high into the air to reach floating objects plus trigger switches or reveal passages upon landing. With moves so easy to perform, you can concentrate on solving the crazy puzzles.
There are over 30 levels to conquer, starting from the Frogger's home in Firefly Swamp, then onward via grassy hills, jungles, snowy mountains and finally through factories and the gloomy castle belonging to arch-enemy Dr Wani. Our little green champ is kept busy dodging obstacles, and employing ingenious methods to get from place to place.
Crafty designers have built the game with several routes to choose from throughout Helmet Chaos, so you'll want to explore to plunder its secrets. Yet more fun can be had from the various, hilarious, mini-games. Both PSP and DS versions have eight mini-games, one of which is exclusive to the console. These include the original 1981 arcade game, and all mini-games can be played with friends via Wi-Fi requiring only one copy of the game.
 
Source - www.Konami.com (publisher) "
4,12005,Replica,replica,Visual Novel,,PC,Somi,Somi,,,,0.11,0.0,,,,,2016.0,04th Apr 19,http://www.vgchartz.com/game/224240/replica/?region=All,1,,/games/boxart/full_565004AmericaFrontccc.jpg,0.11, 
5,12006,Robotech: Invasion,robotech-invasion,Shooter,T,PS2,Global Star Software,Vicious Cycle,,,,0.0,0.11,0.05,0.04,,0.01,2004.0,,http://www.vgchartz.com/game/5643/robotech-invasion/?region=All,1,,/games/boxart/full_4239967AmericaFrontccc.jpg,0.11,"In the 21st century, humankind was freed from the confines of the solar system through the discovery of an alien technology known as Robotech. Now it's time to put that technology to good use as human survivors make one last attempt to liberate Earth from invaders. Jump into a mech suit or inside a Cyclone vehicle, and then maneuver your way through hive raids, gang confrontations, protoculture searches, and more. Complete various objectives in single-player mode, or showcase your skills in two-player split-screen or online modes.
www.us.playstation.com "
6,12007,fault - milestone one,fault-milestone-one,Visual Novel,,PC,Sekai Project,ALICE IN DISSONANCE,,,,0.11,0.0,,,,,2013.0,04th Apr 19,http://www.vgchartz.com/game/224237/fault-milestone-one/?region=All,1,,/games/boxart/full_7156591AmericaFrontccc.jpg,0.11,"The first story in the fault series. The story begins in Rughzenhaide, a kingdom that has long known peace. One night, a mysterious group of raiders attacks the kingdom's castle. The crown princess Selphine and her Guardian Ritona are forced to escape the castle and go into hiding.‍However, their escape leads them to Kadia, a city halfway around the world. Completely lost, the two come across a girl named Rune, who seems to be carrying secrets of her own...
Source: Official Website "
7,12008,Rock Band: Metal Track Pack,rock-band-metal-track-pack,Misc,T,Wii,MTV Games,Harmonix Music Systems,,,,0.0,0.11,0.1,,,0.01,2009.0,,http://www.vgchartz.com/game/38210/rock-band-metal-track-pack/?region=All,1,,/games/boxart/full_347030AmericaFrontccc.jpg,0.11,"Summoning power from the metal gods on high, the Rock Band team has assembled 20 on-disc tracks exploding with bone-crushing, ear-lashing, face-melting metal including anvil-heavy cuts from Godsmack, Children of Bodom, Evile, Judas Priest, Bullet For My Valentine and more! Six of the on disc tracks are brand new to the Rock Band platform and will be exclusive to the Rock Band Metal Track Pack disc for a limited time before joining the Rock Band Music Store as downloadable content.
 "
8,12009,Dr. Seuss' The Cat in the Hat,dr-seuss-the-cat-in-the-hat,Adventure,E,XB,VU Games,Magenta Software,,,,0.0,0.11,0.08,0.02,,0.0,2003.0,,http://www.vgchartz.com/game/565/dr-seuss-the-cat-in-the-hat/?region=All,1,,/games/boxart/8030202ccc.jpg,0.11,"
Bring the zany fun of the feature film home in Dr. Seuss’ Cat in the Hat™ videogame! Play as the Cat and extend the whimsical fun of the movie as you venture deep into the delightfully off-kilter Seussian world. Race to restore order when the Cat’s crate is mistakenly opened and Seussian magic turns the house inside out.
 




20 delightful levels: Featuring 3-D environments that extend the topsy-turvy movie world to your living room.
Wacky Seussian creatures: Jump, dodge, and capture these crazy creatures, including new ones created just for the game.
Amazing umbrella: Master floating moves and other tricks with the Cat's prop!



 
Xbox.com "
9,12010,Hellboy: The Science of Evil,hellboy-the-science-of-evil,Action,T,X360,Konami,Krome Studios,,,,0.0,0.11,0.1,0.0,,0.01,2008.0,,http://www.vgchartz.com/game/24226/hellboy-the-science-of-evil/?region=All,1,,/games/boxart/6519053ccc.jpg,0.11,"Hellboy: The Science of Evil will give players the opportunity to experience the epic adventures of the acclaimed comic book hero, fusing action, atmosphere and humor. In his latest quest, Hellboy uncovers an insane Nazi plot for world domination and must rush to defeat the crazed Hermann Von Klempt before he can exert his evil will upon earth. As a visceral brawler, the game lets players unleash Hellboy’s superhuman abilities as they smash their way through hordes of enemies with contextual use of the environment for added destructive power and strategy. Just another day for Hellboy… 



Features


Original storyline set in the Hellboy universe, filled with classic characters from the comic book. 
Stunning next-gen graphics with dynamic lighting effects bring Hellboy to life like never before. 
Explosive battle system with contextual grappling commands lets players experience Hellboy's supernatural might as he unleashes the Right Hand of Doom on his enemies. 
Use strategy to take down hordes of enemies - toss a straggler into the crowd or manipulate the environment to create more manageable groups of enemies. 
Play as series favorites Abe Sapein and Liz Sherman in cooperative multiplayer modes 
Full voice-overs by Ron Perlman, Selma Blair, and Doug Jones, from the feature film 
Creative direction from Hellboy creator Mike Mignola and movie director Guillermo del Toro 


 
http://www.konami.com/Konami/ctl3810/cp20102/si1726320/cl1/hellboy_the_science_of_evil
 "
