Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
1,Wii Sports,wii-sports,Sports,E,Wii,Nintendo,Nintendo EAD,,7.7,,82.86,0,,,,,2006,,http://www.vgchartz.com/game/2667/wii-sports/?region=All,1,,/games/boxart/full_2258645AmericaFrontccc.jpg,82.86,"Wii Sports was developed by Nintendo to show the strengths of the Wii. Use your Wii Remote to play one of 5 sports, including Tennis, Baseball, Golf, Bowling, and Boxing. Swing at a tennis or baseball. Simulate throwing a bowling ball. Use the Nunchuck attachment with the Wii Remote and throw punches. You can play with up to 4 friends at a time, and 1vs1 in Boxing and Baseball.
The game is shallow, but very enjoyable. Great for playing with friends and family. Just remember to wear your wrist straps; you dont want to crack your TV. It is a very immersive sports simulator.
It is more than just a game. It is currently being used in rehabiliation facilites. Many Wii owners use Wii sports for exercise. The boxing game provides a great work out.
Get in shape with Wii Sports. Party with Wii Sports.
Iwata Asks about Wii Sports  "
2,Super Mario Bros.,super-mario-bros,Platform,,NES,Nintendo,Nintendo EAD,,10,,40.24,0,,,,,1985,,http://www.vgchartz.com/game/6455/super-mario-bros/?region=All,1,,/games/boxart/8972270ccc.jpg,40.24,"For more than 25 years, the Super Mario series has conquered the charts and won the hearts of fans the world over. Now you can discover - or rediscover - the original game that made Mario a household name.
Run and jump with Mario or Luigi through caves and castles, down pipes and across platforms, and face off against Bowser to rescue your beloved Princess Peach.
It may be more than a quarter of a century old, but Super Mario Bros. is still as enchanting as ever!
Source: Nintendo "
3,Mario Kart Wii,mario-kart-wii,Racing,E,Wii,Nintendo,Nintendo EAD,,8.2,9.1,37.14,0,,,,,2008,11th Apr 18,http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All,1,8.7,/games/boxart/full_8932480AmericaFrontccc.jpg,37.14,"Mario Kart Wii includes 16 new courses and 16 classic courses from previous Mario Kart games. For the first time ever, players have the option of racing with either karts or motorbikes. Players can also hit the road as their personalized Mii(TM) caricatures in addition to the handful of classic Nintendo characters found in the game. True to the series, the game features tons of racing, plenty of power-ups and oodles of objects for players to use to slow down other drivers. And 10 battle arenas will keep players busy between trips around the circuit.
The easy-to-use Wii Wheel is also sold as a separate accessory, giving every driver in the household a chance to get behind his or her own wheel. And if veteran Mario Kart fans are afraid of getting smoked by rookie drivers using the Wii Wheel, they can rest assured that Nintendo has them covered. Mario Kart Wii supports four different control options: Wii Remote(TM) with or without the Wii Wheel, Wii Remote and Nunchuk(TM) controller combo, Classic Controller and even the Nintendo GameCube(TM) controller. So there's bound to be a configuration that fits everyone's style.
Mario Kart Wii launches with a new channel added to the Wii Menu to enhance game play: The Mario Kart Wii Channel. This new channel builds on the huge online community of Wii owners and lets players compete in tournaments, check worldwide rankings, see when their friends are playing and download ghost data.
Official VGChartz Mario Kart Wii GP Leagues

European GP League
NA GP League
Australian GP League

Iwata Asks "
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,,36.6,0,,,,,2017,13th Nov 18,http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All,1,,/games/boxart/full_8052843AmericaFrontccc.jpg,36.6,"PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.PLAYERUNKNOWN, aka Brendan Greene, is a pioneer of the battle royale genre and the creator of the battle royale game modes in the ARMA series and H1Z1: King of the Kill. At PUBG Corp., Greene is working with a veteran team of developers to make PUBG into the world's premiere battle royale experience.
Source: Steam "
5,Wii Sports Resort,wii-sports-resort,Sports,E,Wii,Nintendo,Nintendo EAD,,8,8.8,33.09,0,,,,,2009,,http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All,1,8.8,/games/boxart/full_7295041AmericaFrontccc.jpg,33.09,"Wii Sports Resort is an immersive, expansive active-play game that includes a dozen funresort-themed activities. It maintains the wide-ranging appeal that attracted millions to the original Wii Sports. Wii Sports Resort is easy to pick up and play, but comes coupled with deeper levels of play that are sure to challenge even the most experienced gamers. Wii Sports Resort whisks players away to a resort that’s full of action, while introducing an unprecedented experience in physical reality. Wii Sports Resort comes bundled with a Wii MotionPlus™ accessory to provide players the most realistic, immersive experience possible – the slightest tilt, turn and twist of the Wii Remote controller is recognized. From the moment players skydive onto Wuhu Island, they’re presented with a huge selection of fun activities that everyone can play.
FEATURES

Wuhu Island has so many things to do, there’s never a dull moment. A dozen activities await visitors: Archery, Frisbee®, Basketball, Cycling, Canoeing, Power Cruising, Table Tennis, Air Sports, Bowling, Swordplay, Golf and Wakeboarding.
The activities use the precision controls of the Wii MotionPlus accessory to help players come much closer to the physical reality of engaging in the actual sports. Every real-world action, whether it’s a perfect drive on the fairway or a slice off the course, is meant to be faithfully replicated.
Each activity has multiple fun challenges designed to keep visitors coming back for more. Basketball players might compete in a three-point shootout or jump into a three-on-three pickup game. Archery enthusiasts must aim for the bull’s-eye across ever-increasing distances and obstacles.
Different activities use the Wii Remote and Nunchuk controllers in different ways. For example, players hold the Wii Remote like a paddle in Canoeing, while in Cycling they use both arms to “pedal” with the two controllers. The Wii MotionPlus accessory picks up every nuance of motion and translates it onto the TV screen.
Depending on the activity, players can compete solo or against other players. Some activities even let players team up to work cooperatively.
 "
6,Pokemon Red / Green / Blue Version,pokmon-red,Role-Playing,E,GB,Nintendo,Game Freak,,9.4,,31.38,0,,,,,1998,,http://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,1,,/games/boxart/full_6442337AmericaFrontccc.png,31.38,"Courtesy of Nintendo Power:Become the greatest Pokémon trainer in the world! Start your Pokémon Game Boy adventure by choosing a tame Pokémon at the home of the great Pokémon master Professor Oak. Then start your journey. Your mission: Collect all 150 Pokémon, just like Ash, using your own Pokémon to capture others. Along the way, several skilled trainers, such as Gary, and many minor trainers will challenge you to Pokémon duels. You can't back down, so be ready for anything!Remember, Pokémon are not ordinary creatures. To collect all 150, you'll need to train captured Pokémon so they evolve. For instance, a captured Caterpie will evolve into a Metapod, which will then turn into a Butterfree. Each transformation adds more power to the Pokémon-giving you more power to defeat and capture other Pokémon. Also keep in mind that some Pokémon are rare and won't be found in your game. Newer Pokemon from Pokémon Gold and Silver do not appear in this game, either.The Red & Blue versions of the game each carry their own variety of Pokémon to defeat, collect, and train. To get all 150, trade Pokémon with your friends using the Game Link Cable, which allows the transfer of Pokémon between Game Paks.  "
7,New Super Mario Bros.,new-super-mario-bros,Platform,E,DS,Nintendo,Nintendo EAD,,9.1,8.1,30.8,0,,,,,2006,,http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All,1,,/games/boxart/full_2916260AmericaFrontccc.jpg,30.8,"The first all-new 2D Mario platformer since Super Mario World has arrived! Boasting incredible 3D graphics to accompany classic 2D gameplay, this fast-paced adventure will have Mario fans cheering as they make their way over fields, under water, through castles, and into the air. The power of the DS is used to great effect, and the result is that the Mushroom Kingdom looks more alive than ever. Backgrounds are beautifully layered and every character on screen is presented in gorgeous 3D, with Piranha Plants baring their teeth with wild abandon and Goombas looking almost too cute to stomp on. Just below the surface you will find hundreds of hard-as-nails mini-missions that will force you to reconsider your supposed Super Mario supremacy. The real challenge of the game is tracking down its 240 Star Coins, which allow you to open up paths on the eight world maps. Each level hides three of those shiny collectibles: sometimes they’re in plain sight but require a special skill in order to be reached. Other times they’re cleverly hidden, and sometimes you will need one of the game’s special new power-ups to find them. Nostalgic and new in equal doses, New Super Mario Bros. is, quite simply, a gem of a game. Gorgeous 3D graphics show off the power of DS as you run, jump and stomp your way through the Mushroom Kingdom.Play through hundreds of mini-missions as you try to track down precious Star Coins.Source - www.Nintendo.com "
8,Tetris,tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,,30.26,0,,,,,1989,,http://www.vgchartz.com/game/4534/tetris/?region=All,1,,/games/boxart/3740960ccc.jpg,30.26,"Tetris is a puzzle game originally developed in Russia by a man named Alexey Pajitnov for the Academy of Science of the USSR in 1984. It has been released in various versions continually since then, but the Game Boy version has been the most popular of these by a notable margin. 
Released in 1989, Tetris would soon be packaged with all Game Boys. In America, the game continued to be a pack-in for 5 years. It has, on many occasions, been considered the greatest video game ever developed due to the simplicity and elegance of its design.
The goal of the game is to arrange ""Tetrads"" (a variety of shapes made of four blocks each) as they fall, to complete rows across the bottom of the screen. When a row is filled with blocks, it will disappear, earning the player points. When the screen fills to the top, the player loses.
  "
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,Platform,E,Wii,Nintendo,Nintendo EAD,,8.6,9.2,30.22,0,,,,,2009,,http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All,1,9.1,/games/boxart/full_1410872AmericaFrontccc.jpg,30.22,"Developers at Nintendo have dreamed of creating a simultaneous multiplayer Super MarioBros. game for decades. The Wii console finally makes that dream come true for everyonethis holiday season. Now players can navigate the side-scrolling worlds alone as before orinvite up to three others to join them at the same time on the same level at any point in thegame for competitive and cooperative multiplayer fun. With the multiplayer mode, the newestinstallment of the most popular video game franchise is designed to bring yet another type offamily entertainment into living rooms and engage groups of friends in fast-paced SuperMario Bros. fun.
FEATURES

New Super Mario Bros. Wii offers a combination of cooperation and competition. Players can pick each other up to save them from danger or toss them into it.
Mario, Luigi and two Toads are all playable characters, while many others from the Mushroom Kingdom make appearances throughout the game. Players can even ride different Yoshi characters and use their tongues to swallow enemies – or their fellow players.
In some areas, players use the motion abilities of the Wii Remote™ controller. The first player to reach a seesaw might make it tilt to help his or her character reach a higher platform – and then tilt it incorrectly just to mess with other players.
New items include the propeller suit, which will shoot players high into the sky with just a shake of the Wii Remote and Mario’s new ability to transform into Penguin Mario.
At the end of each stage during the simultaneous multiplayer mode, players are ranked based on their score, the coins collected and the number of enemies defeated.
 "
10,Minecraft,minecraft,Misc,,PC,Mojang,Mojang AB,,10,,30.01,0,,,,,2010,05th Aug 18,http://www.vgchartz.com/game/47724/minecraft/?region=All,1,,/games/boxart/full_minecraft_1AmericaFront.png,30.01,"The World Is Yours For The Making
Prepare for an adventure of limitless possibilities as you build, mine, battle mobs, and explore the ever-changing Minecraft landscape.
Always Something New
New tools, locations, and spaces are yours to explore, thanks to our regular updates. Check out the latest.
Play To Create
If you can dream it, you can build it. Put your imagination and limitless resources to work with Creative Mode.
Play To Survive
Battle mobs, construct shelter, and explore the landscape—it’s all in a day’s work when you try to survive and thrive in Survival Mode.
Play With Friends
Build together, search together, have fun together! The world of Minecraft is even better when explored with your best buds.
How It Worlds
Be Resourceful
Get crafty and use the surrounding environment to gather building materials—see how breaking down trees can help you create something new.
Survive The Night
It’s always best to avoid the unpredictable by distancing yourself from wandering mobs—you never know what’ll happen if they get too close!
Build Something Amazing
Discover all the versatile ways dust from the Redstone ore can be used to enhance your creations, bring them to life, or give them some bang.
Source: Minecraft.net "
